id;nom_porteur;num_carte;date_expiration;cvv
1;Cambridgeshire Reduced;41151;2023-11-08T16:52:59;44404
2;e-commerce Peso Aquitaine;35761;2023-11-09T08:52:34;31743
3;Ergonomic;11430;2023-11-09T08:29:48;95921
4;Nicaragua Buckinghamshire;45380;2023-11-08T22:41:50;96143
5;client-driven Saint-Honoré a;98673;2023-11-08T14:08:24;14975
6;Outdoors Bacon multi-byte;88036;2023-11-08T13:33:49;91297
7;base;98755;2023-11-08T18:39:38;58006
8;Buckinghamshire;10150;2023-11-09T02:25:12;84804
9;Rubber Vatu;75050;2023-11-09T02:31:05;89770
10;Rupiah;72751;2023-11-08T20:01:28;5809
